cart_id,t,phase,target_x,x,x_dot,theta1_deg,theta2_deg,theta1_dot,theta2_dot,u
2,11.0900,swingup,6.00,1.8874,-0.2292,72.21,-76.21,-0.7585,0.8175,2.6755
1,11.1900,swingup,-6.00,-2.3942,-0.1706,-109.05,162.83,-1.6081,2.5042,6.9832
2,11.1900,swingup,6.00,1.8749,0.0246,72.04,-74.32,0.5445,-0.1075,3.9752
1,11.2900,swingup,-6.00,-2.3638,0.6609,-160.62,171.97,1.8524,0.1435,-28.0088
2,11.2900,swingup,6.00,1.8919,0.3519,79.30,-77.73,1.8990,-0.9221,3.8728
1,11.3900,swingup,-6.00,-2.3479,-0.5315,134.03,-158.52,2.6115,-0.3855,-21.3405
2,11.3900,swingup,6.00,1.9398,0.6066,95.75,-83.61,-2.5342,-1.0053,2.2847
1,11.4900,swingup,-6.00,-2.4010,-0.1353,87.62,171.19,0.1666,-1.3234,2.4982
2,11.4900,swingup,6.00,2.0191,1.0434,123.06,-91.05,-0.8239,-1.9328,1.7941
1,11.5900,swingup,-6.00,-2.3953,0.1474,69.11,121.69,-0.7097,-3.0455,0.7891
2,11.5900,swingup,6.00,2.1336,1.1194,157.21,-114.01,0.1592,0.0805,-7.0276
1,11.6900,swingup,-6.00,-2.3585,0.7594,79.73,63.17,3.0722,2.0303,1.9881
2,11.6900,swingup,6.00,2.1823,-0.8697,-159.87,-175.16,0.9407,-1.1139,-11.9459
1,11.7900,swingup,-6.00,-2.2684,0.9140,91.60,11.52,1.2599,-1.7409,-2.4877
2,11.7900,swingup,6.00,2.1370,0.7819,-136.46,132.87,-3.0199,0.4520,23.8072
1,11.8900,swingup,-6.00,-2.1869,0.6841,95.36,-33.21,0.2203,-1.7072,-1.5517
2,11.8900,swingup,6.00,2.2870,2.0535,-117.66,113.40,-3.1000,-1.8392,5.8561
1,11.9900,swingup,-6.00,-2.1300,0.4055,94.06,-84.28,-0.3077,2.9334,0.2070
2,11.9900,swingup,6.00,2.4402,0.9397,-109.26,100.41,0.0169,-2.7890,-6.9825
1,12.0900,swingup,-6.00,-2.1037,0.1899,103.18,-135.97,-2.5704,-2.0235,6.9776
2,12.0900,swingup,6.00,2.5154,0.6621,-116.69,83.62,-2.1779,-2.8289,2.3037
1,12.1900,swingup,-6.00,-2.0663,0.1082,143.08,167.33,-2.2042,-1.5654,24.8931
2,12.1900,swingup,6.00,2.5959,1.0896,-131.92,71.10,-2.7790,-1.4639,8.7144
1,12.2900,swingup,-6.00,-1.9625,2.3253,-154.18,106.20,-2.3293,1.9050,18.8228
2,12.2900,swingup,6.00,2.7348,1.7183,-146.14,69.49,-2.1866,0.7298,5.9078
1,12.3900,swingup,-6.00,-1.7159,2.0206,-90.14,120.17,-1.0651,0.7068,-7.8135
2,12.3900,swingup,6.00,2.9249,2.0859,-157.29,80.61,-1.8450,2.9034,3.3549
1,12.4900,swingup,-6.00,-1.5781,0.6333,-25.43,174.77,-1.3122,-1.6062,-9.6990
2,12.4900,swingup,6.00,3.1510,2.5264,-168.13,104.17,-2.0168,-1.1218,6.4861
1,12.5900,swingup,-6.00,-1.5527,-0.0255,39.30,-114.24,-1.5030,0.9413,-3.5298
2,12.5900,swingup,6.00,3.4401,3.5031,177.75,143.86,-2.9407,2.4681,15.2706
1,12.6900,swingup,-6.00,-1.5559,0.1190,92.97,-33.38,0.8901,1.4301,3.5851
2,12.6900,swingup,6.00,3.7393,1.4500,149.95,-161.98,0.6792,0.8563,-33.2144
1,12.7900,swingup,-6.00,-1.5261,0.4423,113.40,44.30,0.4466,1.3265,1.0588
2,12.7900,swingup,6.00,3.7625,-0.9661,117.54,-147.48,0.4540,-0.9400,-18.8516
1,12.8900,swingup,-6.00,-1.4476,1.2736,99.22,137.78,-1.2425,-2.8530,-1.3380
2,12.8900,swingup,6.00,3.6062,-2.1416,87.37,-171.95,2.0567,-0.0822,-7.9514
